Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.3125000000,20,4166.7949218750,4119.6152343750,4251.5385742188,4078.3332519531,4167.6923828125,4155.3847656250,4188.3334960938,4201.0258789062,4217.0512695312,4230.1284179688,4291.4101562500,4226.0258789062,4249.1025390625,4201.6665039062,,,
0.3164062500,20,4163.2050781250,4111.4101562500,4252.5639648438,4076.7949218750,4167.8203125000,4156.6665039062,4186.2822265625,4200.2563476562,4217.5639648438,4230.5126953125,4292.0512695312,4225.5126953125,4253.2050781250,4200.0000000000,,,
0.3203125000,20,4162.0512695312,4101.4101562500,4251.4101562500,4076.4101562500,4168.0771484375,4157.9487304688,4185.0000000000,4201.6665039062,4219.2309570312,4232.1796875000,4293.3334960938,4223.7177734375,4257.0512695312,4197.4360351562,,,
0.3242187500,20,4162.1796875000,4094.2307128906,4247.3076171875,4076.4101562500,4167.3076171875,4157.8203125000,4184.3588867188,4203.9741210938,4221.2822265625,4233.2050781250,4292.6923828125,4218.8461914062,4257.6923828125,4193.8461914062,,,
0.3281250000,21,4161.2822265625,4093.8461914062,4241.6665039062,4075.5129394531,4164.3588867188,4156.5385742188,4183.9741210938,4205.0000000000,4222.1796875000,4232.0512695312,4288.9741210938,4211.5385742188,4253.8461914062,4190.2563476562,,,
0.3320312500,21,4159.3588867188,4101.1538085938,4237.1796875000,4073.4614257812,4159.2309570312,4155.3847656250,4183.7177734375,4203.9741210938,4221.4101562500,4229.3588867188,4283.3334960938,4204.8715820312,4246.9228515625,4187.9487304688,,,
0.3359375000,21,4158.3334960938,4113.2050781250,4235.7690429688,4071.7949218750,4153.8461914062,4155.8974609375,4183.4614257812,4202.0512695312,4219.6152343750,4226.9228515625,4278.9741210938,4202.5639648438,4240.1284179688,4188.2050781250,,,
0.3398437500,21,4159.6152343750,4125.8974609375,4237.0512695312,4072.0512695312,4151.4101562500,4158.5898437500,4183.0771484375,4200.6411132812,4217.9487304688,4225.8974609375,4277.5639648438,4205.2563476562,4236.4101562500,4191.0258789062,,,
0.3437500000,22,4162.0512695312,4135.8974609375,4239.2309570312,4074.3588867188,4153.9741210938,4162.4360351562,4182.8203125000,4199.3588867188,4216.9228515625,4226.0258789062,4278.4614257812,4210.8974609375,4236.5385742188,4195.0000000000,,,
0.3476562500,22,4163.8461914062,4141.9228515625,4239.7436523438,4078.3332519531,4161.2822265625,4165.8974609375,4183.3334960938,4198.0771484375,4216.7949218750,4226.9228515625,4279.8715820312,4216.1538085938,4238.9741210938,4198.5898437500,,,
